Country,State,City,Longitude,Longitude,Count of Consumer_ID
Mexico,San Luis Potosi,San Luis Potosi,-100.918865,-100.918865,1
Mexico,San Luis Potosi,San Luis Potosi,-100.917902,-100.917902,1
Mexico,San Luis Potosi,San Luis Potosi,-100.913935,-100.913935,1
Mexico,San Luis Potosi,San Luis Potosi,-100.91217,-100.91217,1
Mexico,San Luis Potosi,San Luis Potosi,-100.910948,-100.910948,1
Mexico,San Luis Potosi,San Luis Potosi,-100.908523,-100.908523,2
Mexico,San Luis Potosi,San Luis Potosi,-100.907844,-100.907844,1
Mexico,San Luis Potosi,San Luis Potosi,-100.905209,-100.905209,1
Mexico,San Luis Potosi,San Luis Potosi,-100.904279,-100.904279,1
Mexico,San Luis Potosi,San Luis Potosi,-100.900536,-100.900536,1
Mexico,Tamaulipas,Ciudad Victoria,-99.171889,-99.171889,1
Mexico,Tamaulipas,Ciudad Victoria,-99.171883,-99.171883,4
Mexico,Tamaulipas,Ciudad Victoria,-99.171216,-99.171216,1
Mexico,Tamaulipas,Ciudad Victoria,-99.170108,-99.170108,2
Mexico,Tamaulipas,Ciudad Victoria,-99.169242,-99.169242,1
Mexico,Tamaulipas,Ciudad Victoria,-99.168605,-99.168605,2
Mexico,Tamaulipas,Ciudad Victoria,-99.16859,-99.16859,1
Mexico,Tamaulipas,Ciudad Victoria,-99.168567,-99.168567,1
Mexico,Tamaulipas,Ciudad Victoria,-99.167984,-99.167984,1
Mexico,Tamaulipas,Ciudad Victoria,-99.167082,-99.167082,1
Mexico,Tamaulipas,Ciudad Victoria,-99.166868,-99.166868,1
Mexico,Tamaulipas,Ciudad Victoria,-99.166589,-99.166589,1
Mexico,Tamaulipas,Ciudad Victoria,-99.166095,-99.166095,1
Mexico,Tamaulipas,Ciudad Victoria,-99.164357,-99.164357,1
Mexico,Tamaulipas,Ciudad Victoria,-99.163397,-99.163397,1
Mexico,Tamaulipas,Ciudad Victoria,-99.160548,-99.160548,1
Mexico,Tamaulipas,Ciudad Victoria,-99.159851,-99.159851,1
Mexico,Tamaulipas,Ciudad Victoria,-99.158864,-99.158864,13
Mexico,Tamaulipas,Ciudad Victoria,-99.152856,-99.152856,1
Mexico,Tamaulipas,Ciudad Victoria,-99.139906,-99.139906,1
Mexico,Tamaulipas,Ciudad Victoria,-99.134047,-99.134047,1
Mexico,Tamaulipas,Ciudad Victoria,-99.133,-99.133,2
Mexico,Tamaulipas,Ciudad Victoria,-99.105617,-99.105617,1
