Restaurant_ID,Restaurant name,Cuisine,,,Restaurant_ID,Restaurant name,Cuisine
132854,Sirlone,International,,,132715,Tacos De La Estacion,Mexican
135021,Subway,Fast Food,,,132668,Tacos El Guero,Mexican
135072,Sushi Itto,Japanese,,,132732,Taqueria El Amigo ,Mexican
132663,Tacos Abi,Mexican,,,135104,Vips,Mexican
132665,Tacos Correcaminos,Mexican,,,132869,Dominos Pizza,Pizzeria
132594,Tacos De Barbacoa Enfrente Del Tec,Mexican,,,135053,La Fontana Pizza Restaurante And Cafe,Pizzeria
132715,Tacos De La Estacion,Mexican,,,132733,Little Caesars,Pizzeria
132668,Tacos El Guero,Mexican,,,135043,Pizza Clasica,Pizzeria
132958,Tacos Los Volcanes,American,,,135058,Restaurante Tiberius,Pizzeria
132732,Taqueria El Amigo ,Mexican,,,132560,Puesto de Gorditas,Regional
132717,Tortas Hawaii,Fast Food,,,135075,Mariscos El Pescador,Seafood
135085,Tortas Locas Hipocampo,Fast Food,,,135039,Restaurant De Mariscos De Picon,Seafood
132870,Tortas Y Hamburguesas El Gordo,Burgers,,,135049,Restaurante De Mariscos La Langosta,Seafood
132856,Unicol's Pizza,Italian,,,135060,Restaurante Marisco Sam,Seafood
132951,Vips,American,,,135054,Restaurante Y Pescaderia Tampico,Seafood
135104,Vips,Mexican,,,132767,Restaurant Familiar El Chino,Vietnamese
